1,前橋市,マエバシシ,1
2,高崎市,タカサキシ,1
3,桐生市,キリュウシ,1
4,伊勢崎市,イセサキシ,1
5,太田市,オオタシ,1
6,沼田市,ヌマタシ,1
7,館林市,タテバヤシシ,1
8,渋川市,シブカワシ,1
9,藤岡市,フジオカシ,1
10,富岡市,トミオカシ,1
11,安中市,アンナカシ,1
12,北橘村,キタタチバナムラ,4
13,赤城村,アカギムラ,4
14,富士見村,フジミムラ,4
15,大胡町,オオゴマチ,3
16,宮城村,ミヤギムラ,4
17,粕川村,カスカワムラ,4
18,新里村,ニイサトムラ,4
19,黒保根村,クロホネムラ,4
20,東村(勢多郡),アズマムラ,4
21,榛名町,ハルナマチ,3
22,倉渕村,クラブチムラ,4
23,箕郷町,ミサトマチ,3
24,群馬町,グンママチ,3
25,子持村,コモチムラ,4
26,小野上村,オノガミムラ,4
27,伊香保町,イカホマチ,3
28,榛東村,シントウムラ,4
29,吉岡町,ヨシオカマチ,3
30,新町,シンマチ,3
31,鬼石町,オニシマチ,3
32,吉井町,ヨシイマチ,3
33,万場町,マンバマチ,3
34,中里村,ナカサトムラ,4
35,上野村,ウエノムラ,4
36,妙義町,ミョウギマチ,3
37,下仁田町,シモニタマチ,3
38,南牧村,ナンモクムラ,4
39,甘楽町,カンラマチ,3
40,松井田町,マツイダマチ,3
41,中之条町,ナカノジョウマチ,3
42,東村(吾妻郡),アズマムラ,4
43,吾妻町,アガツママチ,3
44,長野原町,ナガノハラマチ,3
45,嬬恋村,ツマゴイムラ,4
46,草津町,クサツマチ,3
47,六合村,クニムラ,4
48,高山村,タカヤマムラ,4
49,白沢村,シラサワムラ,4
50,利根村,トネムラ,4
51,片品村,カタシナムラ,4
52,川場村,カワバムラ,4
53,月夜野町,ツキヨノマチ,3
54,水上町,ミナカミマチ,3
55,新治村,ニイハルムラ,4
56,昭和村,ショウワムラ,4
57,赤堀町,アカボリマチ,3
58,東村(佐波郡),アズマムラ,4
59,境町,サカイマチ,3
60,玉村町,タマムラマチ,3
61,尾島町,オジママチ,3
62,新田町,ニッタマチ,3
63,薮塚本町,ヤブズカホンマチ,3
64,笠懸町,カサカケマチ,3
65,大間々町,オオマママチ,3
66,板倉町,イタクラマチ,3
67,明和町,メイワマチ,3
68,千代田町,チヨダマチ,3
69,大泉町,オオイズミマチ,3
70,邑楽町,オウラマチ,3
